Year,China,Mexico,SouthAfrica,Russia,Iran,Brazil,Turkey,Thailand,Malaysia,Kazakhstan,Nepal,USA,India,Japan,Germany,Indonesia,South_Korea,Canada,Saudi_Arabia,United_Kingdom,Australia,Italy,France,Spain,Poland,UAE
1990,"2,173,360.00","269,580.00","247,660.00","2,163,530.00","198,470.00","197,900.00","139,200.00","89,220.00","54,620.00","237,250.00",940,"4,817,720.21","2,456,300.05","1,081,569.95","657,400.02","619,840.03","610,789.98","580,210.02","523,780.03","348,920.01","386,530.00","317,239.99","300,519.99","239,980.00","295,130.00","188,860.00"
1991,"2,302,180.00","288,000.00","242,330.00","2,136,440.00","219,100.00","205,480.00","143,800.00","98,070.00","65,100.00","246,370.00","1,180.00","4,975,310.06","2,451,929.93","1,116,150.02","707,700.01","576,989.99","630,640.01","580,090.03","521,260.01","360,730.01","387,070.01","324,880.00","307,049.99","257,040.01","311,910.00","177,120.00"
1992,"2,418,180.00","291,680.00","238,820.00","2,030,810.00","233,650.00","207,870.00","149,800.00","107,950.00","67,170.00","253,840.00","1,230.00","4,819,370.12","2,320,409.91","1,155,229.98","732,200.01","517,320.01","626,630.00","568,080.02","545,070.01","367,000.00","389,160.00","329,190.00","317,829.99","263,450.01","312,859.99","197,039.99"
1993,"2,645,410.00","300,670.00","246,490.00","1,880,250.00","236,730.00","215,260.00","155,580.00","122,720.00","73,040.00","219,240.00","1,410.00","4,894,500.00","2,195,250.00","1,167,790.04","747,150.02","482,510.01","615,880.00","556,830.02","561,229.98","380,810.00","384,989.99","333,340.00","313,920.01","247,030.00","299,799.99","201,080.00"
1994,"2,767,670.00","326,500.00","252,140.00","1,685,050.00","266,690.00","222,500.00","153,820.00","137,060.00","79,740.00","199,170.00","1,740.00","4,990,709.96","2,158,020.02","1,179,439.94","742,310.00","488,549.99","607,830.02","558,700.01","565,190.00","401,079.99","377,799.99","337,859.99","311,299.99","256,280.00","289,079.99","195,240.01"
1995,"3,088,620.00","306,840.00","264,310.00","1,635,490.00","271,520.00","241,280.00","168,150.00","155,780.00","86,310.00","175,240.00","1,900.00","5,107,209.96","2,147,110.11","1,217,120.00","736,010.01","483,910.00","588,090.03","561,679.99","540,520.02","415,600.01","371,630.00","327,500.00","306,100.01","240,960.01","285,730.01","184,759.99"
1996,"3,070,510.00","322,700.00","274,110.00","1,601,180.00","279,810.00","262,410.00","185,340.00","174,710.00","98,640.00","153,390.00","1,960.00","5,092,100.10","1,972,430.05","1,262,780.03","776,150.02","447,940.00","599,599.98","555,659.97","503,209.99","453,760.01","380,280.00","346,459.99","338,560.00","242,810.00","298,299.99","184,470.00"
1997,"3,134,110.00","342,480.00","289,030.00","1,489,510.00","292,400.00","281,330.00","193,430.00","177,940.00","106,020.00","132,240.00","2,190.00","4,956,060.06","1,909,439.94","1,253,609.99","760,130.00","481,510.01","600,320.01","546,210.02","492,470.00","467,780.00","386,970.00","376,750.00","338,420.01","269,269.99","303,350.01","175,590.00"
1998,"3,236,280.00","365,140.00","296,490.00","1,487,970.00","290,990.00","290,590.00","193,690.00","156,790.00","105,690.00","135,840.00","2,320.00","5,173,600.10","1,756,739.99","1,213,520.02","746,479.98","475,310.00","598,479.98","549,289.98","463,769.99","445,590.00","386,380.00","396,690.00","335,140.01","274,399.99","310,590.00","165,600.01"
1999,"3,153,660.00","355,180.00","278,410.00","1,523,720.00","323,360.00","300,960.00","192,650.00","163,790.00","114,450.00","122,650.00","3,120.00","5,392,109.86","1,659,979.98","1,156,479.98","773,070.01","415,519.99","575,219.97","537,010.01","446,130.00","482,440.00","387,540.01","405,269.99","347,780.00","273,250.00","313,739.99","162,789.99"
2000,"3,346,530.00","379,180.00","284,660.00","1,563,850.00","340,450.00","313,670.00","216,400.00","164,490.00","124,360.00","120,150.00","3,220.00","5,156,430.18","1,564,880.00","1,100,979.98","734,810.00","391,079.99","526,640.01","521,320.01","406,530.00","466,489.99","395,290.01","397,060.00","343,730.01","287,489.99","297,260.01","157,020.00"
2001,"3,529,080.00","378,830.00","320,540.00","1,567,170.00","354,070.00","319,380.00","197,770.00","173,160.00","129,460.00","117,440.00","3,460.00","5,558,379.88","1,424,380.00","1,158,219.97","789,690.00","376,140.01","514,919.98","550,469.97","389,720.00","515,340.03","388,940.00","444,980.01","357,989.99","324,269.99","308,329.99","156,050.00"
2002,"3,810,060.06","386,000.00","331,320.01","1,565,339.97","369,870.00","317,760.01","208,110.00","184,240.01","136,380.00","131,060.00","2,790.00","5,736,319.82","1,336,739.99","1,225,069.95","783,799.99","379,959.99","503,690.00","571,630.00","354,620.00","530,500.00","385,750.00","459,370.00","362,829.99","354,679.99","313,380.00","131,830.00"
2003,"4,415,910.16","404,690.00","353,090.00","1,610,000.00","389,769.99","310,810.00","219,160.00","191,929.99","144,490.01","146,140.00","3,020.00","5,653,080.08","1,215,209.96","1,189,520.02","814,409.97","364,470.00","487,850.01","540,530.03","335,440.00","542,060.00","375,489.99","466,649.99","371,549.99","341,780.00","314,090.00","121,560.00"
